,determinism,recurrence_rate,entropy,longest_diagonal_line,average_diagonal_line,laminarity,divergence,no_messages,diversity,diversity_bin,time,high_performance,female_majority,revise_score,full_credit,half_credit,task,task_numeric
64,0.37681159420289856,0.2608,0.9502705335617065,4,2.6,0.6441717791411042,0.25,25,2,0,481,0,1,0.0,0,0,PartyVenue,1
65,0.4172661870503597,0.18140589569160998,0.5857831239700317,4,2.230769230769231,0.6,0.25,42,2,0,715,0,1,0.0,0,0,candidate,2
66,0.2785714285714286,0.16735537190082644,0.42584842443466187,4,2.1666666666666665,0.5339506172839507,0.25,44,3,1,920,0,1,0.0,0,0,PartyVenue,1
67,0.49825783972125437,0.20793388429752066,1.2090102434158325,9,2.86,0.6581875993640699,0.1111111111111111,55,1,0,790,0,1,0.0,0,0,candidate,2
68,0.6708860759493671,0.24574669187145556,1.3719735145568848,7,3.0576923076923075,0.8346153846153846,0.14285714285714285,46,4,1,1034,1,0,1.0,0,1,PartyVenue,1
69,0.5,0.22189349112426035,0.5195798873901367,3,2.2142857142857144,0.6733333333333333,0.3333333333333333,26,2,0,1054,0,1,0.0,0,0,candidate,2
70,0.3701657458563536,0.20098765432098764,0.7982043027877808,4,2.392857142857143,0.5601965601965602,0.25,45,2,0,782,1,0,2.0,1,1,PartyVenue,1
71,0.3548387096774194,0.20713305898491083,0.0,2,2.0,0.5165562913907285,0.5,27,2,0,299,0,1,0.0,0,0,candidate,2
72,0.7586206896551724,0.2890625,0.8486855030059814,4,2.4444444444444446,0.9864864864864865,0.25,16,2,0,297,0,1,0.0,0,0,candidate,2
73,0.38823529411764707,0.2222222222222222,0.7589367628097534,4,2.357142857142857,0.7,0.25,30,3,1,474,0,1,0.0,0,0,candidate,2
74,0.4268142681426814,0.23681660899653978,0.9648295044898987,8,2.5328467153284673,0.5955581531268265,0.125,85,3,1,939,0,1,0.0,0,0,candidate,2
75,0.17391304347826086,0.19753086419753085,0.0,4,4.0,0.34375,0.25,18,2,0,271,0,1,0.0,0,0,apartment,3
76,0.4773504273504274,0.25299306868304977,0.8571459650993347,8,2.422993492407809,0.6481942714819428,0.125,138,3,1,989,0,0,0.0,0,0,candidate,2
77,0.5458612975391499,0.2566514377855415,1.1951589584350586,8,2.772727272727273,0.7329842931937173,0.125,61,2,0,535,0,1,0.0,0,0,apartment,3
78,0.4779874213836478,0.2284297520661157,0.9538660049438477,5,2.533333333333333,0.7322720694645442,0.2,55,2,0,1093,0,1,0.0,0,0,candidate,2
79,0.6930232558139535,0.25555555555555554,1.247460961341858,8,2.8380952380952382,0.8847826086956522,0.125,60,4,1,1259,0,1,0.125,0,0,apartment,3
80,0.3741438356164384,0.20214876033057852,0.8853075504302979,8,2.455056179775281,0.5408830744071954,0.125,110,4,1,976,0,0,0.0,0,0,candidate,2
81,0.574468085106383,0.2396694214876033,0.5660858154296875,4,2.25,0.6120689655172413,0.25,22,2,0,365,0,0,0.0,0,0,apartment,3
82,0.4590909090909091,0.1819526627218935,0.8313905000686646,5,2.4047619047619047,0.6097560975609756,0.2,52,3,1,784,0,0,0.0,0,0,candidate,2
83,0.5714285714285714,0.2839506172839506,0.0,2,2.0,0.782608695652174,0.5,9,3,1,571,0,0,0.0,0,0,apartment,3
84,0.7356924421144605,0.3610341643582641,1.4577537775039673,11,3.183364839319471,0.8725490196078431,0.09090909090909091,114,2,0,1177,1,0,2.0,1,1,PartyVenue,1
85,0.6111111111111112,0.2520775623268698,1.0397207736968994,4,2.75,0.8791208791208791,0.25,19,3,1,92,0,1,0.0,0,0,apartment,3
86,0.5566037735849056,0.24394463667820068,0.890596330165863,5,2.4583333333333335,0.7570921985815603,0.2,68,3,1,1576,0,0,0.0,0,0,candidate,2
87,0.5893169877408057,0.2166893424036281,1.5501611232757568,21,3.7597765363128492,0.7111762243616576,0.047619047619047616,105,4,1,1458,0,1,0.0,0,0,apartment,3
88,0.0,0.36,0.0,1,1.0,0.8888888888888888,1.0,5,3,1,295,0,0,0.0,0,0,candidate,2
89,0.5238095238095238,0.27453896490184415,1.2279014587402344,6,2.834355828220859,0.6863488624052004,0.16666666666666666,82,3,1,1119,1,0,1.0,0,1,apartment,3
90,0.473208910295003,0.22770837464472204,0.8449742794036865,6,2.4184615384615387,0.6150943396226415,0.16666666666666666,123,2,0,1387,0,1,0.0,0,0,PartyVenue,1
91,0.4189189189189189,0.19160997732426305,0.5585778951644897,4,2.2142857142857144,0.665680473372781,0.25,42,2,0,691,0,1,0.0,0,0,apartment,3
