,determinism,recurrence_rate,entropy,longest_diagonal_line,average_diagonal_line,laminarity,divergence,diversity,high_performance,female_majority,revise_score,full_credit,half_credit
93,0.7586206896551724,0.38613406795224975,1.4048632383346558,66,3.2141057934508814,0.8888228299643282,0.015151515151515152,3,1,1,2.0,1,1
94,0.4915254237288136,0.20068027210884354,0.6518868803977966,42,2.9491525423728815,0.6779661016949152,0.023809523809523808,3,0,1,0.0,0,0
95,0.36,0.30864197530864196,0.0,9,9.0,0.48,0.1111111111111111,2,1,0,2.0,1,1
96,0.6270022883295194,0.2427777777777778,1.0442638397216797,60,2.869109947643979,0.7837528604118993,0.016666666666666666,3,1,1,1.25,0,1
97,0.42857142857142855,0.22580645161290322,0.7489067316055298,93,2.607476635514019,0.4280593958013313,0.010752688172043012,3,1,1,1.5,0,1
98,0.5617112957833179,0.21475312314098752,1.263332724571228,123,3.098471986417657,0.7334564481378886,0.008130081300813009,2,0,1,0.0,0,0
99,0.639344262295082,0.2928,0.9244623780250549,25,3.0,0.7759562841530054,0.04,4,0,1,0.5,0,0
100,0.4057377049180328,0.21180555555555555,0.7131367325782776,48,2.955223880597015,0.4672131147540984,0.020833333333333332,3,0,0,0.0,0,0
101,0.6206896551724138,0.2013888888888889,1.7118451595306396,24,5.538461538461538,0.4224137931034483,0.041666666666666664,2,0,0,0.0,0,0
102,0.6338028169014085,0.31555555555555553,0.6277052760124207,15,3.0,0.8028169014084507,0.06666666666666667,3,0,1,0.0,0,0
103,0.453027139874739,0.184159938485198,0.8438748717308044,51,3.056338028169014,0.5824634655532359,0.0196078431372549,3,0,0,0.0,0,0
104,0.41379310344827586,0.19614984391259105,0.6227855086326599,62,2.7610619469026547,0.5119363395225465,0.016129032258064516,3,1,0,2.0,1,1
105,0.3746130030959752,0.19214753123140987,0.44711458683013916,41,3.1025641025641026,0.5015479876160991,0.024390243902439025,1,0,1,0.0,0,0
106,0.5264054514480409,0.2538927335640138,0.939257025718689,68,2.7713004484304933,0.7223168654173765,0.014705882352941176,3,0,1,0.0,0,0
107,0.45504840940525587,0.22253000923361035,1.1826353073120117,57,3.257425742574257,0.5504840940525588,0.017543859649122806,3,1,1,2.0,1,1
108,0.44272445820433437,0.23593864134404674,1.158613920211792,37,3.4878048780487805,0.48297213622291024,0.02702702702702703,2,0,1,0.0,0,0
109,0.8079409048938134,0.45106205747605166,1.487942099571228,49,3.404669260700389,0.8882733148661126,0.02040816326530612,3,1,1,1.0,0,1
110,0.5327102803738317,0.296398891966759,0.8463658094406128,19,3.3529411764705883,0.7009345794392523,0.05263157894736842,1,0,1,0.0,0,0
111,0.38461538461538464,0.26,0.0,10,10.0,0.6153846153846154,0.1,3,0,1,0.0,0,0
112,0.4132029339853301,0.22120064899945915,0.55655437707901,43,2.864406779661017,0.511002444987775,0.023255813953488372,3,0,1,0.0,0,0
113,0.6573352978320354,0.37207298927089044,1.1074683666229248,113,2.943449575871819,0.7968848663439276,0.008849557522123894,3,0,0,0.0,0,0
114,0.5232323232323233,0.22727272727272727,1.011971116065979,66,2.893854748603352,0.5969696969696969,0.015151515151515152,3,1,1,1.0,0,1
115,0.4296577946768061,0.24150596877869604,0.44711458683013916,33,2.8974358974358974,0.46387832699619774,0.030303030303030304,2,1,0,1.0,0,1
116,0.43820224719101125,0.19503287070854639,0.6396406292915344,37,3.1621621621621623,0.6966292134831461,0.02702702702702703,3,0,1,0.0,0,0
117,0.3772782503037667,0.1889348025711662,0.6879702806472778,132,2.5503080082135523,0.47782503037667073,0.007575757575757576,3,1,1,1.0,0,1
118,0.490280777537797,0.2095971027614305,0.9017184376716614,94,2.7267267267267266,0.6328293736501079,0.010638297872340425,3,1,0,1.0,0,1
119,0.5083056478405316,0.21986851716581446,1.001824975013733,37,3.25531914893617,0.4186046511627907,0.02702702702702703,3,0,0,0.0,0,0
120,0.6345919610231425,0.26309886236180097,1.0290311574935913,158,2.6735086593970494,0.8121193666260658,0.006329113924050633,3,0,0,0.125,0,0
121,0.5265700483091788,0.25864223240316536,0.8091922998428345,49,2.7478991596638656,0.7375201288244766,0.02040816326530612,3,1,1,1.0,0,1
122,0.44680851063829785,0.235,1.2730283737182617,20,4.666666666666667,0.574468085106383,0.05,3,0,0,0.0,0,0
123,0.5488721804511278,0.2052469135802469,0.6157673001289368,36,2.8627450980392157,0.7819548872180451,0.027777777777777776,3,0,1,0.0,0,0
124,0.475177304964539,0.16765755053507728,0.8463658094406128,29,3.9411764705882355,0.45390070921985815,0.034482758620689655,4,0,1,0.25,0,0
125,0.5111111111111111,0.2,1.111708402633667,30,3.68,0.6611111111111111,0.03333333333333333,3,0,1,0.0,0,0
126,0.5484848484848485,0.28546712802768165,1.092860221862793,68,2.8844621513944224,0.7015151515151515,0.014705882352941176,3,1,1,1.0,0,1
127,0.6548634812286689,0.3048907388137357,1.0335427522659302,124,2.6859142607174102,0.7903156996587031,0.008064516129032258,4,1,0,2.0,1,1
128,0.47116430903155604,0.24697661918839023,0.6693372130393982,61,2.624242424242424,0.4439608269858542,0.01639344262295082,2,1,1,1.0,0,1
