,task_x,team_id,mellon_id,Primary code ,revise_score,high_performance
363,candidate,185836_198007_197446_170246,170246,SSI,0.0,0
364,candidate,185836_198007_197446_170246,170246,SESU,0.0,0
365,candidate,185836_198007_197446_170246,170246,SESU,0.0,0
366,candidate,185836_198007_197446_170246,170246,SSI,0.0,0
367,candidate,185836_198007_197446_170246,170246,SSI,0.0,0
368,candidate,185836_198007_197446_170246,170246,SSI,0.0,0
369,candidate,185836_198007_197446_170246,170246,SN,0.0,0
370,candidate,185836_198007_197446_170246,170246,SMC,0.0,0
371,candidate,185836_198007_197446_170246,170246,SMC,0.0,0
372,candidate,185836_198007_197446_170246,170246,SMC,0.0,0
373,candidate,185836_198007_197446_170246,170246,SMC,0.0,0
374,candidate,185836_198007_197446_170246,170246,SMC,0.0,0
375,candidate,185836_198007_197446_170246,170246,SMC,0.0,0
376,candidate,185836_198007_197446_170246,198007,SSI,0.0,0
377,candidate,185836_198007_197446_170246,198007,SSI,0.0,0
378,candidate,185836_198007_197446_170246,198007,SESU,0.0,0
379,candidate,185836_198007_197446_170246,198007,SN,0.0,0
380,candidate,185836_198007_197446_170246,198007,SN,0.0,0
381,candidate,185836_198007_197446_170246,198007,SMC,0.0,0
382,candidate,185836_198007_197446_170246,198007,SESU,0.0,0
383,candidate,185836_198007_197446_170246,198007,SSI,0.0,0
384,candidate,185836_198007_197446_170246,198007,SN,0.0,0
385,candidate,185836_198007_197446_170246,198007,SMC,0.0,0
386,candidate,185836_198007_197446_170246,185836,SSI,0.0,0
387,candidate,185836_198007_197446_170246,185836,SESU,0.0,0
388,candidate,185836_198007_197446_170246,185836,SN,0.0,0
389,candidate,185836_198007_197446_170246,185836,SN,0.0,0
390,candidate,185836_198007_197446_170246,185836,SN,0.0,0
391,candidate,185836_198007_197446_170246,185836,SMC,0.0,0
392,candidate,185836_198007_197446_170246,185836,SN,0.0,0
393,candidate,185836_198007_197446_170246,185836,SSI,0.0,0
394,candidate,185836_198007_197446_170246,185836,SESU,0.0,0
395,candidate,185836_198007_197446_170246,185836,SN,0.0,0
396,candidate,185836_198007_197446_170246,185836,SSI,0.0,0
397,candidate,185836_198007_197446_170246,185836,SSI,0.0,0
398,candidate,185836_198007_197446_170246,185836,SSI,0.0,0
399,candidate,185836_198007_197446_170246,185836,SESU,0.0,0
400,candidate,185836_198007_197446_170246,185836,SSI,0.0,0
401,candidate,185836_198007_197446_170246,185836,SN,0.0,0
402,candidate,185836_198007_197446_170246,185836,SMC,0.0,0
403,candidate,185836_198007_197446_170246,185836,SMC,0.0,0
404,candidate,185836_198007_197446_170246,185836,SMC,0.0,0
405,candidate,186592_164498_174352_194078,164498,SMC,0.0,0
406,candidate,186592_164498_174352_194078,164498,SSI,0.0,0
407,candidate,186592_164498_174352_194078,164498,CRF,0.0,0
408,candidate,186592_164498_174352_194078,164498,SSI,0.0,0
409,candidate,186592_164498_174352_194078,164498,SESU,0.0,0
410,candidate,186592_164498_174352_194078,164498,SSI,0.0,0
411,candidate,186592_164498_174352_194078,164498,SMC,0.0,0
412,candidate,186592_164498_174352_194078,164498,SN,0.0,0
413,candidate,186592_164498_174352_194078,164498,SESU,0.0,0
414,candidate,186592_164498_174352_194078,186592,SMC,0.0,0
415,candidate,186592_164498_174352_194078,186592,SSI,0.0,0
416,candidate,186592_164498_174352_194078,186592,SN,0.0,0
417,candidate,186592_164498_174352_194078,186592,SN,0.0,0
418,candidate,186592_164498_174352_194078,194078,SMC,0.0,0
419,candidate,186592_164498_174352_194078,194078,SSI,0.0,0
420,candidate,186592_164498_174352_194078,194078,CRF,0.0,0
421,candidate,186592_164498_174352_194078,194078,SN,0.0,0
422,candidate,186592_164498_174352_194078,194078,SMC,0.0,0
423,candidate,186592_164498_174352_194078,174352,SESU,0.0,0
424,candidate,186592_164498_174352_194078,174352,SSI,0.0,0
425,candidate,186592_164498_174352_194078,174352,SESU,0.0,0
426,candidate,186592_164498_174352_194078,174352,CRF,0.0,0
427,candidate,186592_164498_174352_194078,174352,SESU,0.0,0
428,candidate,186592_164498_174352_194078,174352,SMC,0.0,0
429,candidate,186592_164498_174352_194078,174352,SSI,0.0,0
430,candidate,186592_164498_174352_194078,174352,SSI,0.0,0
431,candidate,188971_174169_165703_172079,174169,SMC,0.0,0
432,candidate,188971_174169_165703_172079,174169,SMC,0.0,0
