,determinism,recurrence_rate,entropy,longest_diagonal_line,average_diagonal_line,laminarity,divergence,diversity,high_performance,female_majority,full_credit,half_credit,revise_score
83,0.391304347826087,0.2839506172839506,0.0,9,9.0,0.0,0.1111111111111111,3,0,0,0,0,0.0
84,0.45524296675191817,0.3610341643582641,1.379115104675293,114,4.21301775147929,0.6890451832907076,0.008771929824561403,2,1,0,1,1,2.0
85,0.34065934065934067,0.2520775623268698,0.5004023909568787,19,6.2,0.4835164835164835,0.05263157894736842,3,0,1,0,0,0.0
86,0.1744906997342781,0.23713505566057552,0.6202127933502197,69,4.804878048780488,0.22763507528786536,0.014492753623188406,3,0,0,0,0,0.0
87,0.3054393305439331,0.21270914916340333,1.4956759214401245,106,4.965986394557823,0.46527196652719666,0.009433962264150943,4,0,1,0,0,0.0
88,0.5555555555555556,0.36,0.0,5,5.0,0.0,0.2,3,0,0,0,0,0.0
89,0.3087757313109426,0.27453896490184415,0.8717682957649231,82,3.986013986013986,0.5769230769230769,0.012195121951219513,3,1,0,0,1,1.0
90,0.1497388276262333,0.22411550468262226,0.6703824996948242,124,4.264462809917355,0.2986070806732443,0.008064516129032258,2,0,1,0,0,0.0
91,0.17751479289940827,0.19160997732426305,0.4101163148880005,42,8.571428571428571,0.14201183431952663,0.023809523809523808,2,0,1,0,0,0.0
92,0.1935483870967742,0.25761772853185594,0.9164649248123169,38,6.545454545454546,0.24193548387096775,0.02631578947368421,3,1,1,0,1,1.75
93,0.32936979785969084,0.38613406795224975,0.7173224687576294,66,3.7181208053691277,0.6956004756242569,0.015151515151515152,3,1,1,1,1,2.0
94,0.1694915254237288,0.20068027210884354,0.4101163148880005,42,8.571428571428571,0.13559322033898305,0.023809523809523808,3,0,1,0,0,0.0
95,0.36,0.30864197530864196,0.0,9,9.0,0.0,0.1111111111111111,2,1,0,1,1,2.0
96,0.2402745995423341,0.2427777777777778,0.7218813896179199,60,4.468085106382978,0.28604118993135014,0.016666666666666666,3,1,1,0,1,1.25
